iter	TotalF1	MultiClass	TotalF1:use_weights=true	TotalF1:use_weights=false
0	0.5350543408	1.516995835	0.5350543408	0.4732335321
1	0.5753798419	1.444890771	0.5753798419	0.5012106325
2	0.5968032993	1.380161421	0.5968032993	0.5113719057
3	0.6042029886	1.330151139	0.6042029886	0.507365198
4	0.6199111551	1.276754001	0.6199111551	0.5209981325
5	0.6300743093	1.231361973	0.6300743093	0.5254080256
6	0.6388225577	1.192910596	0.6388225577	0.5328035325
7	0.6524050541	1.154630779	0.6524050541	0.5417164963
8	0.6559108702	1.125994111	0.6559108702	0.5429031775
9	0.6633192221	1.095107216	0.6633192221	0.5495642826
10	0.6696636447	1.065206962	0.6696636447	0.5555238917
11	0.676687587	1.037622941	0.676687587	0.5611001733
12	0.6805025621	1.017033589	0.6805025621	0.5638215608
13	0.6853546555	0.9968869205	0.6853546555	0.5680128679
14	0.6924641125	0.9735045807	0.6924641125	0.5743930493
15	0.6988673627	0.9559985166	0.6988673627	0.5821475393
16	0.7071376701	0.9336109514	0.7071376701	0.5907560877
17	0.7161586019	0.9138747772	0.7161586019	0.600525627
18	0.7189263688	0.8981248071	0.7189263688	0.6035900636
19	0.7241610299	0.8856156448	0.7241610299	0.6064004673
20	0.7290840718	0.8716148342	0.7290840718	0.6112722566
21	0.7339916415	0.8588217931	0.7339916415	0.6149019146
22	0.7417056224	0.842944437	0.7417056224	0.6234101778
23	0.7484501873	0.8288443202	0.7484501873	0.6300776954
24	0.7520457256	0.8189580412	0.7520457256	0.6339758571
25	0.7610050589	0.8030673301	0.7610050589	0.643803312
26	0.7663549449	0.7904756409	0.7663549449	0.6495783233
27	0.7690255289	0.7826090455	0.7690255289	0.6514879669
28	0.7755632263	0.7682774425	0.7755632263	0.6584997315
29	0.7775376443	0.7613013501	0.7775376443	0.6612987145
30	0.7812464688	0.7529873629	0.7812464688	0.6670554825
31	0.7849289498	0.7456864707	0.7849289498	0.6720208467
32	0.7899206608	0.7365925015	0.7899206608	0.6786136568
33	0.7941118427	0.7266756602	0.7941118427	0.6826451501
34	0.7978460275	0.7180130738	0.7978460275	0.6878046457
35	0.7994523784	0.7128185868	0.7994523784	0.6894580418
36	0.8023048899	0.7058340192	0.8023048899	0.6935304046
37	0.8044550439	0.6999243988	0.8044550439	0.6956832373
38	0.8110018361	0.6866288766	0.8110018361	0.7034687209
39	0.8162122491	0.6772208942	0.8162122491	0.7096923471
40	0.8183351432	0.6706872283	0.8183351432	0.7124631794
41	0.8207359763	0.6636036969	0.8207359763	0.7159559464
42	0.825920978	0.6538973677	0.825920978	0.7228421143
43	0.8290099708	0.6470074834	0.8290099708	0.7270311509
44	0.8318271901	0.6400306206	0.8318271901	0.7309726448
45	0.8349446123	0.6335944203	0.8349446123	0.7349289286
46	0.837770718	0.6282050448	0.837770718	0.7385455931
47	0.8391958743	0.6244326061	0.8391958743	0.7398522177
48	0.841269228	0.6185055643	0.841269228	0.7432299071
49	0.8439837071	0.6115417568	0.8439837071	0.7470886534
50	0.8485884384	0.6042558033	0.8485884384	0.7521963632
51	0.851238485	0.5981315616	0.851238485	0.7557305497
52	0.8548183487	0.5911113379	0.8548183487	0.7601069733
53	0.8566208124	0.5861999165	0.8566208124	0.7628499049
54	0.8591918184	0.5805228097	0.8591918184	0.7663144763
55	0.8606072738	0.5773460372	0.8606072738	0.7679226663
56	0.8642555165	0.5702317722	0.8642555165	0.7721697907
57	0.8665943004	0.5644720101	0.8665943004	0.7753764755
58	0.8688558253	0.5587536827	0.8688558253	0.7786777067
59	0.8728868468	0.5507492142	0.8728868468	0.7843518873
60	0.8742786186	0.546432603	0.8742786186	0.7862760162
61	0.8761230852	0.5413458975	0.8761230852	0.7893833842
62	0.8785282945	0.5347460988	0.8785282945	0.7926141426
63	0.8809846016	0.5286858925	0.8809846016	0.7965958099
64	0.8820196109	0.5257657753	0.8820196109	0.7979174923
65	0.8849402037	0.5183841539	0.8849402037	0.8018233841
66	0.8871514781	0.5124031357	0.8871514781	0.8048140106
67	0.8892468641	0.5076675977	0.8892468641	0.8078709399
68	0.8909266717	0.5046108916	0.8909266717	0.8096971584
69	0.8916516687	0.5018767168	0.8916516687	0.8108569755
70	0.8931449968	0.4966601427	0.8931449968	0.8135596289
71	0.8947664313	0.4926021985	0.8947664313	0.816018988
72	0.8960468076	0.4893001803	0.8960468076	0.8183686893
